game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
40e5454a-11c7-43e8-a8f3-4d9d144ea4f5,1,Rated Blitz game,https://lichess.org/6fTah1ZM,2023.05.06,?,cesar67,derboyamcooken,0-1,1850,-6,1816,+6,,,derboyamcooken,1816,cesar67,1850,-34,D20,Normal,180+2,2023.05.06,15:15:32,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
481cf94e-2f91-488f-baa0-7cc0babd377d,2,Rated Blitz game,https://lichess.org/IJERtnes,2023.05.06,?,derboyamcooken,SlavianinChess1971,0-1,1822,-6,1809,+6,,,SlavianinChess1971,1809,derboyamcooken,1822,-13,B12,Normal,180+2,2023.05.06,14:30:54,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
9213aa93-7cdf-4efd-9229-d448377d2177,3,Rated Blitz game,https://lichess.org/ZxYAOnT7,2023.05.06,?,ArsenChessmaster,derboyamcooken,0-1,1771,-5,1817,+5,,,derboyamcooken,1817,ArsenChessmaster,1771,46,B10,Time forfeit,180+2,2023.05.06,14:03:39,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
614e3bea-e495-495e-9456-f85757d95ab2,4,Rated Blitz game,https://lichess.org/qDv0JUI9,2023.05.06,?,andremassashi,derboyamcooken,0-1,1806,-6,1811,+6,,,derboyamcooken,1811,andremassashi,1806,5,B13,Normal,180+2,2023.05.06,13:12:00,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
931e370f-1219-4a35-b197-9dcb0a248a90,5,Rated Blitz game,https://lichess.org/Sk8iZ0mw,2023.05.06,?,Capriccio246,derboyamcooken,0-1,1818,-5,1805,+6,,,derboyamcooken,1805,Capriccio246,1818,-13,B10,Normal,180+2,2023.05.06,12:42:18,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
94abf9cb-a3ea-4ea2-af7d-b09ef8eb7607,6,Rated Blitz game,https://lichess.org/kEBbUzhY,2023.05.06,?,derboyamcooken,dirty_err,0-1,1810,-5,1842,+6,,,dirty_err,1842,derboyamcooken,1810,32,B23,Normal,180+2,2023.05.06,11:36:46,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
917875e8-170d-43f5-a8a9-0daeba79b212,7,Rated Blitz game,https://lichess.org/cyH9FDWX,2023.05.05,?,rogmed,derboyamcooken,0-1,1801,-6,1804,+6,,,derboyamcooken,1804,rogmed,1801,3,B10,Normal,180+2,2023.05.05,14:04:42,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
b1104ec0-efba-41a5-b690-50dd2d8a4e29,8,Rated Blitz game,https://lichess.org/6yEqFZXF,2023.05.05,?,derboyamcooken,Fyreblazze,1-0,1798,+6,1792,-6,,,derboyamcooken,1798,Fyreblazze,1792,6,B12,Time forfeit,180+2,2023.05.05,12:45:03,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
34708257-246a-440b-a447-b5b79ac253d1,9,Rated Blitz game,https://lichess.org/R7BiWONK,2023.05.05,?,markymeat,derboyamcooken,1-0,1802,+6,1804,-6,,,markymeat,1802,derboyamcooken,1804,-2,A40,Normal,180+2,2023.05.05,12:16:30,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
b08d30f5-f764-4a92-9dc3-40d8b383123f,10,Rated Blitz game,https://lichess.org/yRp0Fa5j,2023.05.05,?,vaibhav138,derboyamcooken,1-0,1820,+6,1811,-7,,,vaibhav138,1820,derboyamcooken,1811,9,B10,Normal,180+2,2023.05.05,09:32:37,Standard,,2023-05-06T16:08:02+0000,lichess_derboyamcooken_2023-05-06(4).pgn
